user_id,basket_id,event_time,abandond,discount,,
580094927,12977,2019-12-01 07:32:00,0,0,2019-12-01 07:32:00,2019-12-01 07:32:00
580093426,12978,2019-12-01 07:34:00,0,0.1,2019-12-01 07:34:00,2019-12-01 07:34:00
571126308,12979,2019-12-01 07:34:00,0,0,2019-12-01 07:34:00,2019-12-01 07:34:00
576624722,12980,2019-12-01 07:34:00,0,0,2019-12-01 07:34:00,2019-12-01 07:34:00
565156457,12981,2019-12-01 07:35:00,0,0,2019-12-01 07:35:00,2019-12-01 07:35:00
580103296,12982,2019-12-01 07:35:00,0,0.1,2019-12-01 07:35:00,2019-12-01 07:35:00
567607730,12983,2019-12-01 07:36:00,1,0,2019-12-01 07:36:00,2019-12-01 07:36:00
292033337,12984,2019-12-01 07:36:00,0,0.1,2019-12-01 07:36:00,2019-12-01 07:36:00
231761005,12985,2019-12-01 07:37:00,0,0,2019-12-01 07:37:00,2019-12-01 07:37:00
351291383,12986,2019-12-01 07:38:00,1,0.1,2019-12-01 07:38:00,2019-12-01 07:38:00
564830968,12987,2019-12-01 07:42:00,0,0,2019-12-01 07:42:00,2019-12-01 07:42:00
468028339,12988,2019-12-01 07:43:00,0,0.25,2019-12-01 07:43:00,2019-12-01 07:43:00
579862385,12989,2019-12-01 07:43:00,0,0,2019-12-01 07:43:00,2019-12-01 07:43:00
527958340,12990,2019-12-01 07:50:00,0,0,2019-12-01 07:50:00,2019-12-01 07:50:00
580103208,12991,2019-12-01 07:50:00,0,0,2019-12-01 07:50:00,2019-12-01 07:50:00
578186009,12992,2019-12-01 07:51:00,0,0,2019-12-01 07:51:00,2019-12-01 07:51:00
430318653,12993,2019-12-01 07:51:00,1,0.1,2019-12-01 07:51:00,2019-12-01 07:51:00
514505261,12994,2019-12-01 07:51:00,0,0,2019-12-01 07:51:00,2019-12-01 07:51:00
115398528,12995,2019-12-01 07:53:00,1,0,2019-12-01 07:53:00,2019-12-01 07:53:00
528839764,12996,2019-12-01 07:53:00,0,0,2019-12-01 07:53:00,2019-12-01 07:53:00
426521060,12997,2019-12-01 08:00:00,1,0,2019-12-01 08:00:00,2019-12-01 08:00:00
550427748,12998,2019-12-01 08:01:00,0,0,2019-12-01 08:01:00,2019-12-01 08:01:00
499080994,12999,2019-12-01 08:02:00,0,0,2019-12-01 08:02:00,2019-12-01 08:02:00
377153707,13000,2019-12-01 08:03:00,0,0,2019-12-01 08:03:00,2019-12-01 08:03:00
572450208,13001,2019-12-01 08:07:00,1,0.25,2019-12-01 08:07:00,2019-12-01 08:07:00
500550127,13002,2019-12-01 08:14:00,0,0.25,2019-12-01 08:14:00,2019-12-01 08:14:00
557237463,13003,2019-12-01 08:18:00,0,0,2019-12-01 08:18:00,2019-12-01 08:18:00
342344356,13005,2019-12-01 08:19:00,0,0,2019-12-01 08:19:00,2019-12-01 08:19:00
458855541,13006,2019-12-01 08:24:00,0,0.15,2019-12-01 08:24:00,2019-12-01 08:24:00
471399701,13007,2019-12-01 08:26:00,0,0,2019-12-01 08:26:00,2019-12-01 08:26:00
572131417,13008,2019-12-01 08:28:00,0,0,2019-12-01 08:28:00,2019-12-01 08:28:00
564658360,13009,2019-12-01 08:28:00,1,0,2019-12-01 08:28:00,2019-12-01 08:28:00
508843109,13010,2019-12-01 08:32:00,0,0,2019-12-01 08:32:00,2019-12-01 08:32:00
